0,60.7
1,62.9
2,63.3
3,64.9
4,64.0
5,61.2
6,62.4
7,63.8
8,62.0
9,61.1
10,59.9
11,59.9
12,62.1
13,62.6
14,64.8
15,67.4
16,67.2
17,67.0
18,63.8
19,62.3
20,63.1
21,61.8
22,64.0
23,64.4
24,65.0
25,64.4
26,63.1
27,64.5
28,64.1
29,63.0
30,63.0
31,65.2
32,67.1
33,66.8
34,67.4
35,67.3
36,64.6
37,63.9
38,64.7
39,66.5
40,64.7
41,66.7
42,68.0
43,67.2
44,68.0
45,68.2
46,67.5
47,66.3
48,67.6
49,68.9
50,68.6
51,68.6
52,69.2
53,69.4
54,68.2
55,67.3
56,66.9
57,65.5
58,65.5
59,65.8
60,67.0
61,67.1
62,65.6
63,67.6
64,66.1
65,67.1
66,67.8
67,68.4
68,65.3
69,63.9
70,65.9
71,64.8
72,64.8
73,65.9
74,65.2
75,65.5
76,64.3
77,63.7
78,64.1
79,64.2
80,66.2
81,65.0
82,64.0
83,65.0
84,64.2
85,61.8
86,58.8
87,59.0
88,60.1
89,58.9
90,59.5
91,59.5
92,62.4
93,60.6
94,57.6
95,53.8
96,57.5
97,58.0
98,59.8
99,57.9
100,57.6
101,58.9
102,57.8
103,55.0
104,57.0
105,56.2
106,56.0
107,55.7
108,55.4
109,58.8
110,59.5
111,60.5
112,60.6
113,61.2
114,61.2
115,60.5
116,60.6
117,60.1
118,60.0
119,60.0
120,59.4
121,60.2
122,60.5
123,60.0
124,60.4
125,60.1
126,58.9
127,56.6
128,54.3
129,55.0
130,53.4
131,53.0
132,56.7
133,54.3
134,53.7
135,52.3
136,52.7
137,51.7
138,51.0
139,52.9
140,52.0
141,55.6
142,55.8
143,55.0
144,53.3
145,53.0
146,53.4
147,52.5
148,52.5
149,51.4
150,51.4
151,49.0
152,49.7
153,46.25
154,46.1
155,46.65
156,49.9
157,48.2
158,46.55
159,44.95
160,44.2
161,44.1
162,42.6
163,41.15
164,39.75
165,38.3
166,39.7
167,42.0
168,44.9
169,48.0
170,47.0
171,48.0
172,48.0
173,44.65
174,43.5
175,43.2
176,43.1
177,43.4
178,40.5
179,41.7
180,40.8
181,38.5
182,38.0
183,36.8
184,38.5
185,37.3
186,39.9
187,39.0
188,40.9
189,40.8
190,40.8
191,37.95
192,37.15
193,37.05
194,37.2
195,39.8
196,40.8
197,43.65
198,44.9
199,41.8
200,43.45
201,44.5
202,46.0
203,45.0
204,44.95
205,44.6
206,43.85
207,43.4
208,43.1
209,43.4
210,43.35
211,45.2
212,44.4
213,46.25
214,45.6
215,44.55
216,41.55
217,41.0
218,41.0
219,41.65
220,43.8
