	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
0	2018-02-01	30,900,457	8,022,694,430	257.5	261.0	257.0	259.5	4.5	13,598	2018-02-01	259.5	257.5	259.5	2.0
1	2018-02-02	25,707,560	6,633,344,540	259.0	260.0	255.0	259.5	0.0	11,404	2018-02-02	259.5	259.0	259.5	0.5
2	2018-02-05	46,554,379	11,742,299,859	251.0	254.5	250.5	253.0	-6.5	16,909	2018-02-05	253.0	251.0	253.0	2.0
3	2018-02-06	104,448,048	24,944,565,955	242.5	243.5	234.0	239.0	-14.0	35,455	2018-02-06	239.0	242.5	239.0	-3.5
4	2018-02-07	82,299,178	19,903,032,966	245.0	245.5	239.5	240.0	1.0	22,962	2018-02-07	240.0	245.0	240.0	-5.0
5	2018-02-08	31,192,550	7,468,970,072	239.5	242.0	238.0	238.5	-1.5	10,274	2018-02-08	238.5	239.5	238.5	-1.0
6	2018-02-09	65,939,265	15,227,192,540	230.0	233.0	228.5	232.5	-6.0	19,749	2018-02-09	232.5	230.0	232.5	2.5
7	2018-02-12	35,635,236	8,417,418,168	235.5	237.5	235.0	236.5	4.0	10,846	2018-02-12	236.5	235.5	236.5	1.0
